retailer,observed_at,product_url,product_name,price_raw,brand_raw,origin_raw,category_raw,parent_category_raw,unit_raw,sold_count_raw,last_week_sold_raw
WEEE,2026-08-31,https://www.weee.com/en/product/New-Gold-Premium-Treatment-500ml/3071336?utm_source=seo-main-storefront&utm_campaign=new-arrivals&utm_content=product-3071336&checkZip=true,New Gold Premium Treatment 500ml 1 each,"$
45
00",Shop more from TS shampoo,South Korea,Shampoo \u0026 Conditioner,Personal care,1 each,,
WEEE,2026-08-31,https://www.weee.com/en/product/Nonghyup-Pungsan-whole-Kimchi/101540?utm_source=seo-main-storefront&utm_campaign=trending-near-you&utm_content=product-101540&checkZip=true,Nonghyup Pungsan whole Kimchi 5.07 lb,"$
15
88
$19.99",Shop more from Pungsan,South Korea,Kimchi,Tofu \u0026 Vegan,5.07 lb,,
WEEE,2026-08-31,https://www.weee.com/en/product/OTOKI-JAPCHAE-NOODLES/114417?utm_source=seo-main-storefront&utm_campaign=new-arrivals&utm_content=product-114417&checkZip=true,OTOKI JAPCHAE NOODLES 75 g*4 pack,"$
11
99
$1.13/oz",Shop more from Otoki,South Korea,Instant Noodles,Instant,75 g,,
WEEE,2026-08-31,https://www.weee.com/en/product/Oceankist-IQF-Oyster-Meat/52394?utm_source=seo-main-storefront&utm_campaign=top-products-for-korean-store&utm_content=product-52394&checkZip=true,Oceankist IQF Oyster Meat 8 oz,"$
5
99
$0.75/oz",Shop more from Oceankist,South Korea,Shellfish,Seafood,8 oz,,
WEEE,2026-08-31,https://www.weee.com/en/product/Ojai-Pixie-Tangerines/70811?utm_source=seo-main-storefront&utm_campaign=top-products-for-korean-store&utm_content=product-70811&checkZip=true,Ojai Pixie Tangerines 1 lb,"$
4
99
$4.99/lb",Shop more from Melissa's,United States,Citrus,Fruits,1 lb,,
WEEE,2026-08-31,https://www.weee.com/en/product/Otoki-Noodle-Tteok-Bokki-Spicy-Rice-Cake-with-Noodle/24694?utm_source=seo-main-storefront&utm_campaign=new-arrivals&utm_content=product-24694&checkZip=true,Otoki Noodle Tteok-Bokki Spicy Rice Cake with Noodle 436 g,"$
6
49
$0.42/oz",Shop more from Otoki,South Korea,Instant Hot Pot \u0026 Meals,Instant,436 g,,
WEEE,2026-08-31,https://www.weee.com/en/product/Pulmuone-Korean-Style-Fresh-Noodles-for-Kalguksoo/84124?utm_source=seo-main-storefront&utm_campaign=new-arrivals&utm_content=product-84124&checkZip=true,Pulmuone Korean Style Fresh Noodles for Kalguksoo 37 oz,"$
8
79
$0.24/oz",Shop more from Pulmuone,South Korea,Noodles \u0026 Wraps,Tofu \u0026 Vegan,37 oz,,
WEEE,2026-08-31,https://www.weee.com/en/product/Pyeongchang-Gluten-Free-Gondre-Green-Noodle/114405?utm_source=seo-main-storefront&utm_campaign=new-arrivals&utm_content=product-114405&checkZip=true,Pyeongchang Gluten-Free Gondre Green Noodle 10.58 oz,"$
13
99
$1.32/oz",,South Korea,Noodles \u0026 Rice Noodles,Dry Goods,10.58 oz,,
WEEE,2026-08-31,https://www.weee.com/en/product/Quoc-Viet-Beef-Flavored-Pho-Soup-Base/6600?utm_source=seo-main-storefront&utm_campaign=trending-near-you&utm_content=product-6600&checkZip=true,Quoc Viet Beef Flavored Pho Soup Base 10 oz,"$
8
29
$0.83/oz",Shop more from Quoc Viet,United States,Soup Base,Seasoning,10 oz,,
WEEE,2026-08-31,https://www.weee.com/en/product/Rhee-Chun-New-Variety-Extra-Fancy-Rice/2802?utm_source=seo-main-storefront&utm_campaign=trending-near-you&utm_content=product-2802&checkZip=true,Rhee Chun New Variety Extra Fancy Rice 15 lb,"$
13
99
$0.93/lb",,United States,Rice,Dry Goods,15 lb,,
WEEE,2026-08-31,https://www.weee.com/en/product/Sarangani-Bay-Bangus-Sisig-Cooked-Marinated-Milkfish-Flakes--Frozen-1/93812?utm_source=seo-main-storefront&utm_campaign=top-products-for-korean-store&utm_content=product-93812&checkZip=true,"Sarangani Bay Bangus Sisig Cooked Marinated Milkfish Flakes, Frozen 1 lb","$
7
99
$0.50/oz",Shop more from Sarangani Bay,Philippines,Meals \u0026 Entrees,Frozen,1 lb,,
WEEE,2026-08-31,https://www.weee.com/en/product/Shirakiku-Sanukiya-Udon--Frozen-1/81402?utm_source=seo-main-storefront&utm_campaign=trending-near-you&utm_content=product-81402&checkZip=true,"Shirakiku Sanukiya Udon, Frozen 2.75 lb","$
5
99
$0.14/oz",Shop more from Shirakiku,Japan,Meals \u0026 Entrees,Frozen,2.75 lb,,
WEEE,2026-08-31,https://www.weee.com/en/product/Super-Sweet-Yam-Gift-Box/100853?utm_source=seo-main-storefront&utm_campaign=top-products-for-korean-store&utm_content=product-100853&checkZip=true,Super Sweet Yam Gift Box 5 lb,"$
12
99
$16.99",,United States,Potatoes \u0026 Yams,Vegetables,5 lb,,
WEEE,2026-08-31,https://www.weee.com/en/product/Sweet-Potato-Gift-Pack/50675?utm_source=seo-main-storefront&utm_campaign=top-products-for-korean-store&utm_content=product-50675&checkZip=true,Sweet Potato Gift Pack 10 lb,"$
29
99
$3.00/lb",Shop more from Oct. Sweet,United States,Potatoes \u0026 Yams,Vegetables,10 lb,,
WEEE,2026-08-31,https://www.weee.com/en/product/Tatlong-Itlog-Pork-Sisig-Kapampangan-Stir-Fried-Pork-/109221?utm_source=seo-main-storefront&utm_campaign=top-products-for-korean-store&utm_content=product-109221&checkZip=true,"Tatlong Itlog Pork Sisig Kapampangan (Stir-Fried Pork), Frozen 12 oz","$
13
49
$1.12/oz",,United States,Meals \u0026 Entrees,Frozen,12 oz,,
WEEE,2026-08-31,https://www.weee.com/en/product/Thin-Sliced-Pork-Belly-Roll--Skinless--Frozen-1/24702?utm_source=seo-main-storefront&utm_campaign=trending-near-you&utm_content=product-24702&checkZip=true,"Thin Sliced Pork Belly Roll, Skinless, Frozen 1 lb","$
8
99
$8.99/lb",,Hungary,Pork,Meat,1 lb,,
WEEE,2026-08-31,https://www.weee.com/en/product/Umji-s-Korean-Sweet-Potato-Pancake/114449?utm_source=seo-main-storefront&utm_campaign=new-arrivals&utm_content=product-114449&checkZip=true,Umji's Korean Sweet Potato Pancake 280 g,"$
5
99
$0.61/oz",Shop more from Unexpected Meal,South Korea,Pancakes,Frozen,280 g,,
WEEE,2026-08-31,https://www.weee.com/en/product/Water-Lilies-Brand-Spiced-Jumbo-Thick-Dry-Tofu/41012?utm_source=seo-main-storefront&utm_campaign=top-products-for-korean-store&utm_content=product-41012&checkZip=true,Water Lilies Brand Spiced Jumbo Thick Dry Tofu 21 oz,"$
4
49
$0.21/oz",Shop more from LianHua,Taiwan,Bean Curd,Tofu \u0026 Vegan,21 oz,,
WEEE,2026-08-31,https://www.weee.com/en/product/Yellow-Yams/9728?utm_source=seo-main-storefront&utm_campaign=top-products-for-korean-store&utm_content=product-9728&checkZip=true,Yellow Yams 2.7-3.2 lb,"$
4
99
$1.69/lb",,United States,Potatoes \u0026 Yams,Vegetables,2.7-3.2 lb,,
WEEE,2026-08-31,https://www.weee.com/en/product/Yissine-Pickled-Whole-Radish/104654?utm_source=seo-main-storefront&utm_campaign=trending-near-you&utm_content=product-104654&checkZip=true,Yissine Pickled Whole Radish 2.2 lb,"$
5
99
$0.17/oz",Shop more from Yissine,Mainland China,Pickled Vegetables,Tofu \u0026 Vegan,2.2 lb,,
WEEE,2026-08-31,https://www.weee.com/en/product/Youki-Fine-Korean-Chili-Pepper-Powder-300g/3072479?utm_source=seo-main-storefront&utm_campaign=new-arrivals&utm_content=product-3072479&checkZip=true,Youki Fine Korean Chili Pepper Powder 300g 1 each,"$
32
39
$35.99",,South Korea,Dry Seasoning,Seasoning,1 each,,
